antecedents,consequents,support,lift,confidence
(tell,which,me),(will,you),0.011252,21.545455,1.000000
 (which,tell,me,you),(said),0.011252,18.710526,1.000000
(which,tell,me,said),(you),0.011252,11.850000,1.000000
(tell,which,me),(you,said),0.011252,47.400000,1.000000
 (tell,you,which,me),(said),0.011252,19.750000,1.000000
(tell,which,me,said),(you),0.011252,12.258621,1.000000
(tell,which,me),(you,said),0.011252,47.400000,1.000000
(which,will,tell,me),(said),0.011252,18.710526,1.000000
(which,tell,me,said),(will),0.011252,13.166667,1.000000
(tell,which,me),(will,said),0.011252,39.500000,1.000000
(will,tell,which,me),(said),0.011252,19.750000,1.000000
(tell,which,me,said),(will),0.011252,14.220000,1.000000
(tell,which,me),(will,said),0.011252,39.500000,1.000000
 (which,will,tell,me,you),(said),0.011252,18.710526,1.000000
(which,will,tell,me,said),(you),0.011252,11.850000,1.000000
 (which,tell,me,you,said),(will),0.011252,13.166667,1.000000
(will,tell,which,me),(you,said),0.011252,47.400000,1.000000
 (tell,you,which,me),(will,said),0.011252,39.500000,1.000000
(tell,which,me,said),(will,you),0.011252,21.545455,1.000000
(tell,which,me),(will,you,said),0.011252,50.785714,1.000000
(which,will,tell,me),(you),0.011252,11.850000,1.000000
 (which,tell,me,you),(will),0.011252,13.166667,1.000000
(tell,which,me),(will,you),0.011252,21.545455,1.000000
(will,tell,which,me),(you),0.011252,12.258621,1.000000
 (tell,you,which,me),(will),0.011252,14.220000,1.000000
(tell,which,me),(will,you),0.011252,22.218750,1.000000
 (which,will,tell,me,you),(said),0.011252,18.710526,1.000000
(which,will,tell,me,said),(you),0.011252,11.850000,1.000000
 (which,tell,me,you,said),(will),0.011252,13.166667,1.000000
(which,will,tell,me),(you,said),0.011252,47.400000,1.000000
 (which,tell,me,you),(will,said),0.011252,39.500000,1.000000
(which,tell,me,said),(will,you),0.011252,21.545455,1.000000
 (which,will,tell,me,you),(said),0.011252,19.750000,1.000000
(which,will,tell,me,said),(you),0.011252,12.258621,1.000000
 (which,tell,me,you,said),(will),0.011252,14.220000,1.000000
(tell,which,me),(will,you,said),0.011252,50.785714,1.000000
(will,tell,which,me),(you,said),0.011252,47.400000,1.000000
 (tell,you,which,me),(will,said),0.011252,39.500000,1.000000
(tell,which,me,said),(will,you),0.011252,22.218750,1.000000
(tell,which,me),(will,you,said),0.011252,50.785714,1.000000
 (tell,Lord),(said),0.015471,18.710526,1.000000
 (tell,Lord),(me),0.015471,20.911765,1.000000
 (tell,Lord),(will),0.014065,11.969697,0.909091
 (tell,Lord),(you),0.014065,10.772727,0.909091
(you,Lord),(tell),0.014065,20.850440,0.909091
 (Lord,tell,said),(me),0.015471,20.911765,1.000000
 (tell,me,Lord),(said),0.015471,18.710526,1.000000
 (tell,Lord),(me,said),0.015471,41.823529,1.000000
 (tell,Lord),(me),0.015471,20.911765,1.000000
 (tell,Lord),(me),0.015471,22.218750,1.000000
 (tell,Lord),(said),0.015471,18.710526,1.000000
 (tell,Lord),(said),0.015471,19.750000,1.000000
 (tell,me,Lord),(said),0.015471,18.710526,1.000000
 (tell,said,Lord),(me),0.015471,20.911765,1.000000
 (tell,Lord),(me,said),0.015471,41.823529,1.000000
 (tell,me,Lord),(said),0.015471,19.750000,1.000000
 (tell,said,Lord),(me),0.015471,22.218750,1.000000
 (tell,Lord),(me,said),0.015471,41.823529,1.000000
 (tell,Lord),(will),0.014065,11.969697,0.909091
 (tell,Lord),(will),0.014065,12.927273,0.909091
 (will,tell,Lord),(me),0.014065,20.911765,1.000000
 (will,me,Lord),(tell),0.014065,20.850440,0.909091
 (tell,me,Lord),(will),0.014065,11.969697,0.909091
 (tell,Lord),(will,me),0.014065,38.021390,0.909091
 (will,tell,Lord),(said),0.014065,18.710526,1.000000
 (Lord,tell,said),(will),0.014065,11.969697,0.909091
 (tell,Lord),(will,said),0.014065,35.909091,0.909091
 (will,Lord,tell),(me),0.014065,20.911765,1.000000
 (will,me,Lord),(tell),0.014065,20.850440,0.909091
 (tell,me,Lord),(will),0.014065,11.969697,0.909091
 (tell,Lord),(will,me),0.014065,38.021390,0.909091
 (will,tell,Lord),(me),0.014065,22.218750,1.000000
 (will,me,Lord),(tell),0.014065,20.850440,0.909091
 (tell,me,Lord),(will),0.014065,12.927273,0.909091
 (tell,Lord),(will,me),0.014065,43.090909,0.909091
 (will,tell,Lord),(said),0.014065,18.710526,1.000000
 (tell,said,Lord),(will),0.014065,11.969697,0.909091
 (tell,Lord),(will,said),0.014065,35.909091,0.909091
 (will,tell,Lord),(said),0.014065,19.750000,1.000000
 (tell,said,Lord),(will),0.014065,12.927273,0.909091
 (tell,Lord),(will,said),0.014065,35.909091,0.909091
 (will,tell,me,Lord),(said),0.014065,18.710526,1.000000
 (will,tell,said,Lord),(me),0.014065,20.911765,1.000000
 (will,said,me,Lord),(tell),0.014065,20.850440,0.909091
 (tell,said,me,Lord),(will),0.014065,11.969697,0.909091
 (will,tell,Lord),(me,said),0.014065,41.823529,1.000000
 (will,me,Lord),(tell,said),0.014065,46.168831,0.909091
 (tell,me,Lord),(will,said),0.014065,35.909091,0.909091
 (tell,said,Lord),(will,me),0.014065,38.021390,0.909091
 (tell,Lord),(will,me,said),0.014065,46.168831,0.909091
 (will,tell,me,Lord),(said),0.014065,18.710526,1.000000
